S.No.;State Code;State Name (In English);District Code;District Version;District Name (In English);District Name(In Local);Census 2001 Code;Census 2011 Code
1;7;DELHI;77;1;CENTRAL;CENTRAL;06;095
2;7;DELHI;78;2;EAST;EAST;04;093
3;7;DELHI;79;1;NEW DELHI;NEW DELHI;05;094
4;7;DELHI;80;1;NORTH;NORTH;02;091
5;7;DELHI;81;2;NORTH EAST;NORTH EAST;03;092
6;7;DELHI;82;1;NORTH WEST;NORTH WEST;01;090
7;7;DELHI;671;1;SHAHDARA;SHAHDARA;;000
8;7;DELHI;83;2;SOUTH;SOUTH;09;098
9;7;DELHI;670;1;South East;SOUTH EAST;;000
10;7;DELHI;84;1;SOUTH WEST;SOUTH WEST;08;097
11;7;DELHI;85;1;WEST;WEST;07;096
