CALLS,,,,,,,,,,,,PUTS,,,,,,,,,,
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
https://www1.nseindia.com/live_market/resources/images/grficon.gif,-,-,-,-,-,-,"9,000",87.3,92.7,"9,000",180,"3,000",0.1,0.2,"1,500",-,0.1,174.92,54,"-69,000","202,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,-,-,-,-,-,-,"9,000",77.4,84.25,"15,000",190,-,-,0.55,"1,500",-,0.2,-,-,-,"16,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"1,500",-,-,-,88,-,"9,000",66.65,74.25,"15,000",200,"19,500",0.15,0.2,"6,000",-0.25,0.15,159.53,36,"-21,000","462,000",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,-,-,-,-,-,-,"18,000",57.6,62.8,"18,000",210,"1,500",0.2,0.35,"3,000",-0.15,0.3,137.2,6,-,"121,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,-,-,-,-,-,-,"18,000",47.9,53.5,"18,000",220,"1,500",0.2,0.3,"4,500",-0.5,0.2,126.68,46,"-45,000","316,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"4,500",-,-,-,49,-,"27,000",36.5,43.35,"12,000",230,"1,500",0.3,0.4,"1,500",-0.7,0.35,104.08,129,"-31,500","274,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"4,500","-3,000",3,109.91,33.4,1.3,"15,000",28.25,33.15,"10,500",240,"7,500",0.65,0.7,"22,500",-1.3,0.65,96.42,380,"-54,000","337,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"94,500","-13,500",27,-,21.4,1.2,"1,500",21.55,22.05,"1,500",250,"1,500",1.5,1.6,"19,500",-2.05,1.5,91.17,763,"-124,500","601,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"213,000","-72,000",163,74.15,14,1.35,"6,000",13.25,14,"1,500",260,"4,500",3.4,3.5,"16,500",-3.3,3.35,85.14,"1,009","-181,500","646,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"517,500","-129,000","1,510",74.15,7.6,0.05,"1,500",7.3,7.7,"1,500",270,"1,500",6.05,7.1,"3,000",-4.6,7.1,86.19,"1,290","-159,000","405,000",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"1,309,500","-129,000","2,253",77.05,3.75,-0.55,"1,500",3.7,3.85,"7,500",280,"7,500",12.9,13.55,"1,500",-5.2,13.3,96.12,121,"-39,000","235,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"703,500","-84,000","1,249",81.57,1.85,-0.75,"1,500",1.7,1.95,"4,500",290,"3,000",19.95,22.05,"3,000",-5.8,21.35,68.42,17,"-15,000","154,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"2,097,000","-303,000","1,520",89.5,1,-0.7,"9,000",1,1.05,"3,000",300,"1,500",29.9,31.35,"1,500",-6.1,30.2,102.17,24,"-18,000","120,000",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"576,000","-24,000",405,93.04,0.6,-0.4,"1,500",0.55,0.6,"9,000",310,"7,500",37.4,42.4,"4,500",-,31.15,-,-,-,"13,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"721,500","-237,000",424,100.21,0.35,-0.35,"1,500",0.3,0.35,"6,000",320,"7,500",49.35,55.3,"34,500",1.75,47,-,2,"-1,500","18,000",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"502,500","-49,500",129,106.61,0.2,-0.3,"1,500",0.15,0.25,"10,500",330,"6,000",56.05,66.15,"34,500",-1.55,56.5,-,5,"-3,000","9,000",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"289,500","-30,000",97,111.55,0.1,-0.3,"1,500",0.1,0.15,"1,500",340,"6,000",66.7,75.25,"3,000",7.2,67,-,2,"-1,500","4,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"472,500","-78,000",93,117.45,0.1,-0.15,"127,500",0.05,0.1,"36,000",350,"9,000",76.65,85.7,"3,000",-0.9,78,132.02,2,"-3,000","18,000",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"244,500","-43,500",60,118.86,0.05,-0.15,-,-,0.05,"18,000",360,"9,000",86.75,92.55,"9,000",-,95.8,-,-,-,"21,000",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"94,500","-6,000",4,129.02,0.05,-0.05,-,-,0.2,"1,500",370,"9,000",96.85,102.55,"9,000",-,83,-,-,-,"19,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"97,500","-7,500",7,157.47,0.15,-,"1,500",0.05,0.15,"15,000",380,"12,000",106.9,111.15,"6,000",-,97.3,-,-,-,"6,000",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"16,500","-3,000",2,159.91,0.1,-,-,-,0.4,"1,500",390,"15,000",115.75,121,"6,000",-6.8,118.2,196.77,2,"-3,000","4,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"339,000","-108,000",179,157.38,0.05,-0.05,-,-,0.05,"7,500",400,"16,500",127,133.1,"15,000",-,115.05,-,-,-,"27,000",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"6,000",-,-,-,0.15,-,-,-,0.6,"6,000",410,"15,000",136.6,143.05,"3,000",-7.5,137.5,-,1,-,"1,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"16,500",-,-,-,0.1,-,-,-,0.05,"3,000",420,"18,000",145.55,153.1,"15,000",-,135,-,-,-,"6,000",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"9,000",-,-,-,7.2,-,-,-,-,-,430,"15,000",156.95,163.1,"15,000",-,156,-,-,-,"1,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
